project_id,description,sources,factiva_sources
22358,"On October 14, 2005, the Chinese Ambassador to Lesotho and the Chairperson of Lesotho's National Assembly attended the handover ceremony for China's donation of office equipment for Lesotho's National Assembly office. The equipment is worth 1 million CNY. ","http://www.fmprc.gov.cn/chn/pds/wjdt/zwbd/t435385.htm, Government Source (Donor/Recipient)",
22368,"In 2007, China awarded 14 full scholarships to Lesotho students. No financial value for this project can be found, and the exact dates these students used the scholarships is unclear.","http://ls.china-embassy.org/chn/xwdt/t352691.htm, Government Source (Donor/Recipient)",
22376,"In January 2005, an exchange of letter was signed between the Chinese and Lesotho governments for China to conduct renovation work on the National Convention Center. The outer tiled wall will be replaced with aluminum peg boards to enhance the aesthetic quality of the National Convention Center. According to the article from 2012, the renovation is complete. China had build the Center from April 1994 to 1999. the renovation project commenced on March 20th, 2014 and the hand-over ceremony took place on January 20th, 2016. The total construction area of this project covers around 6500Ê_, with a contract price of 74.7 Million Chinese RMB Yuan, equal to about 150 million Malotis. The renovation includes the main lobby, 800-seat auditorium, 200-seat meeting room, 70-seat meeting room, multi-media meeting room, and partition meeting room and so on. The scope of renovation includes waterproofing of the roof, decoration of both inside and outside walls, replacement of AC system, water supply and drainage systems, installation of electrical equipment and necessary furniture, etc. ","http://www.mofcom.gov.cn/aarticle/i/jyjl/k/201202/20120207962772.html, Government Source (Donor/Recipient); http://finance.sina.com.cn/roll/20050126/14161324361.shtml, Media Report, including Wikileaks; http://ls.mofcom.gov.cn/article/zxhz/sbmy/201202/20120207962772.shtml, Government Source (Donor/Recipient); http://www.africaneconomicoutlook.org/countries/southern-africa/lesotho/, Other Official Source (non-Donor, non-Recipient); http://ls.china-embassy.org/eng/sgdt/t1335990.htm, Government Source (Donor/Recipient)",
22458,"On November 9, 2011, Zhou Tienong, the Vice Chairman of the Standing Committee of China's National People's Congress, visited Zimbabwe and donated 22 laptops, 20 printers, 10 scanners, and 5 television sets worth 1 million CNY to the Zimbabwean Senate.","http://global.factiva.com/aa/?ref=XNEWS00020111121e7bl008ey&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020111109e7b9000ef&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=XNEWS00020111121e7bl008ey&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020111109e7b9000ef&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
22487,"In 2011, a Chinese delegation on State Administration of Radio, Film, and Television donated 10 laptops to the Ministry of Media, Information, and Publicity of Zimbabwe. It is unclear how much the computers are worth or what type of computers they are.","http://global.factiva.com/aa/?ref=AFNWS00020111123e7bn000ms&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=AFNWS00020111123e7bn000ms&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
22506,"China has been sending medical teams to Zimbabwe every two years since 1985. Hunan Province has been responsible for sending the teams. In January 2011, the 12th medical team of 10 members arrived in in Harare. The team serves Harare Central Hospital, which has a urologist, an orthopedic surgeon, and Parirenyatwa Hospital, which has five, including a specialist physician and others working in orthopedics, urology, and radiology. Two anesthetists serve both hospitals. The team completed the mission and returned to China in April 2013. ","http://vlex.cn/vid/zimbabwean-lauds-chinese-medical-service-338834298, Media Report, including Wikileaks; http://nai.diva-portal.org/smash/get/diva2:399727/FULLTEXT02, Other Academic (Working Paper, Dissertation); http://www.fmprc.gov.cn/mfa_chn/gjhdq_603914/gj_603916/fz_605026/1206_605534/1206x2_605554/t1014643.shtml, Government Source (Donor/Recipient); http://zw.china-embassy.org/chn/xwdt/t1003598.htm, Government Source (Donor/Recipient); http://news.its.csu.edu.cn/readnewsarticle?atcid=20130506091714792, Media Report, including Wikileaks; http://www.nhfpc.gov.cn/gjhzs/dyhbz/201308/07d6439eb438463b86521823bf5f0f6e.shtml, Government Source (Donor/Recipient)",
22595,"During a visit from 23 to 25 March 2010 by Jia Qinglin, the Chairman of the Chinese People's Political Consultative Conference in China, a loan was signed of around 13 million USD for a refurbishment project and provision of materials to rehabilitate the National Civil Engineering Pool (MATGENIE). One source indicates that the agreement entailed provision of preferential buyer credit of the project to rehabilitate Matgenie. An update on May 2, 2011 stated that the government of Cameroon had bought 120 new pieces of civil engineering equipment from China within the ongoing rehabilitation process of the State-owned Civil Engineering Equipment Pool (MATGENIE). The report states that the Cameroonian government planned to buy a total of 727 machines by 2015, including 70 logistic support vehicles, upgrade installations, develop technical control centres and rehabilitate training centres","http://news.cameroon-today.com/cameroon-government-buys-120-road-construction-caterpillars-from-china/5486/, Media Report, including Wikileaks; http://www.businessincameroon.com/categories/53-news/241-china-cameroon-a-win-win-partnership, Media Report, including Wikileaks; http://www.accessmylibrary.com/article-1G1-222396243/china-gives-cameroon-over.html, Media Report, including Wikileaks; http://dad.synisys.com/dadcameroon/, Government Source (Donor/Recipient); http://www.africaneconomicoutlook.org/countries/central-africa/cameroon/, Other Official Source (non-Donor, non-Recipient)",
22643,"On January 25, 2008, Chinese Ambassador Li Chengwen and Sudan's Agriculture and Forests Minister Alaghbash signed an agreement to establish an agricultural technology demonstration center in Faw, Qedarif in eastern Sudan. The center is 60 hectares large, and is used for improving strains, production demonstration and personnel training. Following construction, the center moved into phase 2, technical cooperation and operation, which will be followed by phase 3, sustainable development. The technical operation phase is underway, with one agreement for agricultural technical exchange on May 16, 2012 attended by Ashmawe Sabir, Coordinator of the China-aid Agricultural Technology Demonstration Center, and Xu Hengyong, Director of China-aid Agricultural Technology Demonstration Center. The start and end dates and financial amount are unknown.The construction phase of the project is completed (See Project ID#14166).","http://www.sdhsg.com/en/page.jsp?id=2038, Other Official Source (non-Donor, non-Recipient); http://www.iprcc.org/userfiles/file/Li%20Jiali-EN.pdf, Government Source (Donor/Recipient); http://news.xinhuanet.com/english/china/2014-07/10/c_133474011.htm, Government Source (Donor/Recipient); http://www.ccs.org.za/wp-content/uploads/2014/09/Rex_PhanW_Report_Final_Rex_2014.pdf, Academic Journal Article; http://www.saferworld.org.uk/downloads/pubdocs/FAB%20Sudan%20and%20South%20Sudan.pdf, NGO/Civil Society/Advocacy",
22683,A report published by the IMF in July of 2002 entitled 'Guinea-Bissau: 2002 Article IV Consultation-‘äStaff Report; Staff Supplement; and Public Information Notice on the Executive Board Discussion' states that debts amounting to US$5.8 million were cancelled by China in June of 2001.,"http://www.imf.org/external/pubs/ft/scr/2002/cr02153.pdf, Other Official Source (non-Donor, non-Recipient); http://www.africaneconomicoutlook.org/countries/west-africa/guinea-bissau/, Other Official Source (non-Donor, non-Recipient)",
22824,"The governments of Cameroon and China signed a partnership accord on November 30, 2007 that provides for rehabilitation of existing stadiums in each of Cameroon's provincial headquarters. The project was projected to cost 209 million Euros. It would span for eight years, during which Cameroon was expected to pay back its loan to China. A Chinese company, China National Machinery and Equipment Import and Export Corporation, will be executing the project under a Build-Operate-Transfer model. Minister Edjoa disclosed that his Ministry has drawn up an elaborate plan to provide sports infrastructure in all the provincial headquarters. According to the plan, he went on, proximity sports edifices would be erected in all Divisional headquarters in the country. In November 2009 an update provided that, 'Since last year, two stadiums of 15 000 seats- among which 200 seats in presidential boxes and 100 seats for handicapped persons- have been under construction. 'This project forms phase 3 of a larger project involving the National Sports School #22818 and Paul Biya Stadium sports complex at Olembe in Yaounde, #274. Further information, including progress updates, are unknown. In March 2010, it was reported that a contract had been signed for the Cameroon Sports Facility Development Project. CMEC is to construct 4 new stadiums--Yaounde (60,000 seats), Douala (30,000 seats), Limbe and Bafoussa (20,000 seats)--for the African Football Cup in 2012. The Yaounde stadium is complete (#274). As of May 2014, the Limbe and Bafoussa stadiums are still under construction. A new site for the Limbe Stadium was being tested for use in 2011 at Ngeme, Limbe II Sub Division. ","http://www.businessincameroon.com/categories/53-news/241-china-cameroon-a-win-win-partnership, Media Report, including Wikileaks; http://allafrica.com/stories/200712032056.html, Media Report, including Wikileaks; http://business.highbeam.com/3548/article-1G1-172030925/chinese-construct-biya-stadium, Other Official Source (non-Donor, non-Recipient); http://www.thisissport.info/2010/09/limbe-bafoussam-multipurpose-stadiums-delayed/, Media Report, including Wikileaks; http://www.sinomach.com.cn/templates/T_news_en/content.aspx?nodeid=290&page=ContentPage&contentid=2950, Media Report, including Wikileaks; http://www.atelier11china.com/english/work.aspx?id=277#, Implementing/Intermediary Agency Source; http://www.camfoot.com/actualites/work-begins-on-limbe-stadium-site,12975.html, Media Report, including Wikileaks; http://dad.synisys.com/dadcameroon/, Government Source (Donor/Recipient); https://www.cameroon-tribune.cm/index2.php/en.wikipedia.org/index.php?option=com_content&view=article&id=62568%3Ainfrastructures-sportives-le-difficile-decollage&catid=3%3Adossier-de-la-redaction&limitstart=1, Media Report, including Wikileaks; http://allafrica.com/stories/201405141102.html, Media Report, including Wikileaks",
22830,"On July 3, 2003, the Chinese embassy in Niger donated a maximum of 75 tractors to the Nigerien Ministry of Agricultural Development to increase farm productivity through mechanization. The financial amount for this donation is unknown.","http://ne.mofcom.gov.cn/aarticle/jmxw/200307/20030700106500.html, Government Source (Donor/Recipient); http://dil.newsvine.com/_news/2006/04/20/172470-china-donates-225-tractors-to-niger, Media Report, including Wikileaks",
22839," In February 2007, China donated equipment and pre-construction studies of more than one hundred million francs from the Chinese government to the Gyneco-Obstetric and Paediatric hospitals in Yaounde and Douala. In January 2007 Hu Jintao and a group that includes the Chinese minister of commerce, Bo Xilai, the foreign minister Li Zhaoxing and other senior policy makers, signed eight accords with Cameroon, including a concessional loan agreement to build a gynecological, obstetric and pediatric hospital in Douala Project ID #314.","http://news.cameroon-today.com/president-paul-biya-of-cameroon-visits-china/7263/, Media Report, including Wikileaks; http://dad.synisys.com/dadcameroon/, Government Source (Donor/Recipient)",
22850,"In 2009, China donated a malaria research center housed by Yaounde's Hospital of Gynecology, Obstetrics, and Pediatrics. The center cost $400,000 and was inaugurated in March 26, 2009. According to a 2011 Working Series report, the anti-malaria medical center started to operate on 26 March 2009 . After the establishment of the anti-malaria center, Chinese experts could set up and test the facilities, exchange ideas with local specialists and give technological training to medical staff. For the following three years, the Chinese government provided the center_„Ž facilities and drugs free of charge. It is important that the center should serve as national bases not only for laboratory and clinical departments, but also, and more importantly, for research into anti-malaria strategies (including malaria prevention), for exchanges of advanced technology and for training medical staff.","http://www.ccs.org.za/wp-content/uploads/2009/11/CCS-Central-Africa-Briefing-Paper-August-2009.pdf, Other Academic (Working Paper, Dissertation); http://jjhzj.mofcom.gov.cn/article/y/200903/20090306135897.shtml, Government Source (Donor/Recipient); http://jjhzj.mofcom.gov.cn/article/y/200904/20090406161531.shtml, Government Source (Donor/Recipient); http://nai.diva-portal.org/smash/get/diva2:399727/FULLTEXT02, Other Academic (Working Paper, Dissertation); http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(14)60725-X/fulltext#article_upsell, Academic Journal Article",
22856," In 2007, China donated the construction of personnel accommodation at Yaounde's Hospital of Gynecology, Obstetrics, and Pediatrics worth $3 million. ","http://www.ccs.org.za/wp-content/uploads/2009/11/CCS-Central-Africa-Briefing-Paper-August-2009.pdf, Other Academic (Working Paper, Dissertation)",
22930,"In 2008, China agreed to construct three rural schools in the suburb of Conakry in Guinea. In January 2009, this project was completed.","http://global.factiva.com/aa/?ref=BBCAP00020080516e45g001gt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://jjhzj.mofcom.gov.cn/article/y/200905/20090506252151.shtml, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=BBCAP00020080516e45g001gt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
23049,"The state-owned Chinese company, CAMCE, plans to build three factories in Mozambique which will be financed by loans from the ExIm Bank. The total cost of the projects will be $32 million US dollars. The loan went to the Society for Integrated Resource Management (SOGERI). The three factories include one for husking rice, one for processing maize, and one for cotton. They will be located in Namacurra (Gogodane), UlÍ_ngue, and Guro respectively. They are currently under construction and should have been completed by 2012. The rice husking factory had its first stone laid on May 4, 2011 and was to carry tests in Nov before its full operation. The cotton and maize processing plants were completed in 2012 and are currently managed by Instituto de AlgodÍ£o de MoÍ_ambique (IAM) and Instituto de Cereais of MoÍ_ambique (ICM). ","http://www.mozambiquereview.com/july2011.pdf, Social Media, including Unofficial Blogs; http://www.soyatech.com/print_news.php?id=23355, Media Report, including Wikileaks; http://www.macauhub.com.mo/en/2011/05/24/chinese-company-camce-to-build-rice-maize-and-cotton-processing-factories-in-mozambique/, Media Report, including Wikileaks; http://www.lse.ac.uk/IDEAS/programmes/africaProgramme/pdfs/Sergio-Chichava---Occasional-Paper-2.pdf, Other Academic (Working Paper, Dissertation)",
23098,"In 2006, China launched a project to expand the Burundi Senior Normal College (ECOLE NORMALE SUPÍ_RIEURE) located in Bujumbura. The expansion of the college was expected to be completed in March next year. An extension to the original school was opened on August 15, 2008. The extension cost 10 million Euros and was a donation from China. On November 12, 2010, during a meeting between Burundi's Second Deputy-President Gervais Rufyikiri and Chinese Ambassador to Burundi Yu Xuzhong, Burundi announced appreciation over the already completed Higher Teacher-Training School (of the ENS) in the capital Bujumbura. According to the ENS website: 'In addition to the retrocession of the buildings of Ex-ESTA with the ENS, the School has today the new buildings built by the People's Republic of China (2nd phase) i.e. 4 blocks of teaching and an administrative block. The 1st phase financed by the latter was the construction of an amphitheatre which can contain 250 to 300 students and a library' The amount and commitment, start, and end dates are unknown.","http://vlex.cn/vid/gradually-fulfills-benefits-africans-198699203, Media Report, including Wikileaks; http://www.ens-burundi.org/index.php?id=13&L=1, Other; http://english.cri.cn/6909/2010/11/12/2021s604625.htm, Media Report, including Wikileaks; http://www.burundi-gov.bi/Le-President-Nkurunziza-inaugure, Other; http://www.africaneconomicoutlook.org/countries/east-africa/burundi/, Other Official Source (non-Donor, non-Recipient)",
23105,"In 2004, China agreed to provide Namibia with a N$30 million interest-free loan to improve the railways in the country. An additional source notes that a N$30 million interest free loan was given to offset the purchase of four new diesel locomotives and one diesel multiple unit passenger train (DMU) from the China Railway Materials Export and Import Company valued at N$36 million. The CRMEIC had signed an agreement (according to a January 2004 report) to supply the equipment by June of that year. A different source states that the delivered 'four diesel locomotives and 30 oil tankers' in 2004 were built by China South Locomotive and Rolling Stock Industry Corporation. They were valued at N$36 million. ","http://www.namibian.com.na/index.php?id=28&tx_ttnews%2525255Btt_news%2525255D=6777&no_cache=1, Media Report, including Wikileaks; http://www.kas.de/upload/Publikationen/2014/namibias_foreign_relations/Namibias_Foreign_Relations_pisani.pdf, Other Academic (Working Paper, Dissertation); http://www.namibian.com.na/index.php?id=4974&page=archive-read, Media Report, including Wikileaks",
23142,"In 2008, China's Exim Bank offered Tanzania a soft loan worth $70 million to improve the Tanzanian telecommunications industry. This loan will be used to build the first phase of the National ICT Fiber Backbone project. The China International Telecommunication Construction Corporation (CITCC) (a subsidiary of ChinaTelecom) will carry out the project with Huawei. The backbone will cover 10,674 km and would in the first phase cover Rwanda, Dar es Salaam to Tanga, Moshi, Arusha, Singida, Dodoma, Iringa, and Morogoro and provide connections to Burundi, Uganda, and Kenya. The project was projected to cost $170 million. The first phase was started on July 24, 2009, and completed May 29, 2010. While the Chinese government initially planned to fund Phase 2 with an additional $100 million loan, only 700 million yuan went to fund Phase 2 of the project (ID#23150). At the signing of phase two, the remaining 481 million yuan went to fund the Zanzibar International Airport II (ID#680).","http://www.i-policy.org/2010/05/tanzania-launches-first-phase-of-national-fibre-backbone.html, NGO/Civil Society/Advocacy; http://allafrica.com/stories/200907240332.html, Media Report, including Wikileaks; http://allafrica.com/stories/201201161143.html, Media Report, including Wikileaks; http://www.africagoodnews.com/infrastructure/ict/1377-tanzania-to-complete-fibre-optic-link-in-june.html, Media Report, including Wikileaks; http://www.scribd.com/doc/80127952/Brautigam-China-in-Tanzania, Other; http://www.ippmedia.com/frontend/index.php?l=52064, Media Report, including Wikileaks; http://www.skyscrapercity.com/showthread.php?t=1494731&page=7, Social Media, including Unofficial Blogs; http://allafrica.com/stories/201106230299.html, Media Report, including Wikileaks; http://www.tzonline.org/pdf/thenationalictbackboneinfrastructure.pdf, NGO/Civil Society/Advocacy; http://allafrica.com/stories/201106230299.html, Media Report, including Wikileaks; http://www.tzonline.org/pdf/thenationalictbackboneinfrastructure.pdf, NGO/Civil Society/Advocacy; http://allafrica.com/stories/201106230299.html, Media Report, including Wikileaks; http://www.tzonline.org/pdf/thenationalictbackboneinfrastructure.pdf, NGO/Civil Society/Advocacy; http://www.shenguang.com/news/2010-04/5499DF22BD1F4C3CA00EB2F7F2E8ECC4.html, Media Report, including Wikileaks; http://news.xinhuanet.com/english/china/2014-07/10/c_133474011.htm, Government Source (Donor/Recipient); http://www.ifpri.org/sites/default/files/publications/ifpridp01214.pdf, Other Official Source (non-Donor, non-Recipient)",
23150,"In 2008, China provided a loan improve the Tanzanian telecommunications industry. This loan will be used to build the first phase of the National ICT Fiber Backbone project (ID #23142). After the completion of the first phase, the China Eximbank provided a new concessional loan of RMB 700 million CNY in 2010 for the second phase, to be implemented by International Telecommunication Construction Corporation (CITCC). This phase is to connect Dar es Salaam to Kigoma, Taborak,Sumbawanga, Mbeya, Songea, Mtwara, and Lindi, as well as connecting Tanzania to Zambia and Malawi. Tanzanian Minister of Finance and Economic Affairs Mustapha Mkulo and Zhu Hongjie, vice-chairman of the Exim Bank of China, attended the signing ceremony ceremony. According to Tanzania_„Žs Minister for Communications, Science and Technology, Prof Makame Mbarawa Mnyaa, this project is expected to be completed by March of 2013. While the Chinese government initially planned to fund Phase 2 with an additional $100 million loan, only 700 million yuan went to fund Phase 2 of the project. At the signing of phase two, the remaining 481 million yuan went to fund the Zanzibar International Airport II (ID#680) Phase II became effective from August 1, 2010 and to date the construction of 3,000km of fiber backbone and installation of transmission equipment is complete, awaiting Provisional Acceptance Tests (PAT) planned to commence on 1 April, 2012. It was reported in March 2013 that the project was entering 'phase three', with one of its undertakings being a national broadband backbone infrastructure project.","http://www.ytitz.org/index.php/articles/21-good-progress-on-tanzanian-ict-backbone, Other; http://english.people.com.cn/90001/90776/90883/6954383.html, Media Report, including Wikileaks; http://www.telegeography.com/products/commsupdate/articles/2012/03/28/tanzanian-communications-minister-updates-on-nictbb-rollout/, Other Official Source (non-Donor, non-Recipient); http://allafrica.com/stories/201201161143.html, Media Report, including Wikileaks; http://www.africagoodnews.com/infrastructure/ict/1377-tanzania-to-complete-fibre-optic-link-in-june.html, Media Report, including Wikileaks; http://www.scribd.com/doc/80127952/Brautigam-China-in-Tanzania, Other; http://www.citccsj.com/sub5/com_news_art.php?aid=235, Implementing/Intermediary Agency Source; http://news.xinhuanet.com/english/china/2014-07/10/c_133474011.htm, Government Source (Donor/Recipient); http://www.ifpri.org/sites/default/files/publications/ifpridp01214.pdf, Other Official Source (non-Donor, non-Recipient)",
23220,"On March 29, the Embassy and two Chinese Business Chambers donated 80 bicycles, 50 sewing machines, 35 TV sets, 1500 footballs, 1500 radio sets, 1650 square meters of iron piva and 5 wind power generators, worth 260 million Tanzanian shillings (TZS) to the Tanzanian State House. ","http://tz.china-embassy.org/eng/sgxx/t679147.htm, Government Source (Donor/Recipient)",
23248,"During the 2011-2012 academic year, 35 students were given scholarships to study in various fields. The value and commitment year are unknown.","http://rw.china-embassy.org/eng/rdzt/P020120130634657315628.pdf, Government Source (Donor/Recipient); http://rw.china-embassy.org/chn/dszl/t833494.htm, Government Source (Donor/Recipient)",
23288,"In a decision made on June 23, 2006, Wen Jiabao announced a commitment to build three primary schools in any villages Tanzania selects. The third school is being built on the west coast of Zanzibar. This school is intended to serve 300 students. The current status of this project is unknown. The other two schools constructed as a result of this commitment are captured as projects ID#14910 and ID#23296.","http://www.accessmylibrary.com/article-1G1-147815770/china-gives-tanzania-10m.html, Media Report, including Wikileaks; http://www.scribd.com/doc/80127952/Brautigam-China-in-Tanzania, Other; http://www.ifpri.org/sites/default/files/publications/ifpridp01214.pdf, Other Official Source (non-Donor, non-Recipient)",
23296,"In a decision made on June 23, 2006, Wen Jiabao announced a commitment to build three primary schools in any villages Tanzania selects. The second of the three schools was built in the Partimbo ward of Kiteto as an 'international special talents school,' but it is reportedly focusing now on educating the pastoral community. This school is intended to serve 300 students. The start and end dates, amount, and implementing organization is still unknown, though some of that information is available for the first project. 

The other two schools constructed as a result of this commitment are projects ID#14910 and ID#23288.","http://www.accessmylibrary.com/article-1G1-147815770/china-gives-tanzania-10m.html, Media Report, including Wikileaks; http://www.scribd.com/doc/80127952/Brautigam-China-in-Tanzania, Other; http://www.ifpri.org/sites/default/files/publications/ifpridp01214.pdf, Other Official Source (non-Donor, non-Recipient)",
23346,"Since 2008, China has sent a medical team to Malawi about every two years. Part of the team goes to Kamuzu Central Hospital in the capital Lilongwe and another part goes to Mzuzu Central Hospital in Malawi's Northern Region city of Mzuzu. In mid March 2011, 10 medical personnel left from Shaanxi province for a medical mission in Malawi. They were joined by 6 remaining personnel from the 1st medical mission. They all left Malawi in March 2013.","http://www.fmprc.gov.cn/zflt/eng/zfgx/t920770.htm, Government Source (Donor/Recipient); http://mw.china-embassy.org/eng/dsxx/dsjh/t621077.htm, Government Source (Donor/Recipient); http://nai.diva-portal.org/smash/get/diva2:399727/FULLTEXT02, Other Academic (Working Paper, Dissertation); http://folk.uio.no/danbanik/documents/China_Aid_poverty_Banik.pdf, Academic Journal Article; http://www.nyasatimes.com/2012/07/18/malawi-attends-china-africa-forum-economic-growth-tops-agenda/, Media Report, including Wikileaks; http://malawi.mofcom.gov.cn/article/jmxw/201304/20130400077871.shtml, Government Source (Donor/Recipient); http://www.29bdf.com/dangzhengyaowen/2011/0411/913.html, Media Report, including Wikileaks; http://www.sxhealth.gov.cn/newstyle/pub_newsshow.asp?id=1035234&chid=100237, Government Source (Donor/Recipient); http://www.sxhealth.gov.cn/newstyle/pub_newsshow.asp?id=1022292&chid=100367, Government Source (Donor/Recipient)",
23358,"On June 24th, 2009, the Chinese embassy donated $1 million worth of fertilizer to the Malawian government to support food security.","http://mw.china-embassy.org/eng/dsxx/dsjh/t621077.htm, Government Source (Donor/Recipient)",
23366,"In 2009, a commitment was made from the Chinese Foreign Ministry to their counterpart in Malawi for the donation of furniture and transportation tools. A donation of furniture and vehicles to the Malawian Foreign Ministry was in progress of being delivered in February of 2009, worth an estimated $300,000. The current status of this project is unknown.","http://www.cablegatesearch.net/cable.php?id=09LILONGWE77, Media Report, including Wikileaks; http://mw.china-embassy.org/eng/dsxx/dsjh/t621077.htm, Government Source (Donor/Recipient)",
23385,"In April 2009, the Chinese government donated 500 footballs and 100 sets of clothes to the Ministry of Youth. The financial value for this donation is unknown.","http://mw.china-embassy.org/eng/dsxx/dsjh/t621077.htm, Government Source (Donor/Recipient)",
23426,"On June 23, 2006, Chinese Prime Minister Wen Jiabao visited the Institute of Infectious Diseases at Mulago Hospital and donated 100,000 USD to the hospital to train health workers to handle HIV/Aids patients. The current status and start and end dates are unknown.During the same visit, Wen Jiabao gave the hospital a donation of 8 computers (See Project ID#16519)","http://business.highbeam.com/3548/article-1G1-147889116/mulago-receives-shs180million, Other Official Source (non-Donor, non-Recipient); http://global.factiva.com/aa/?ref=AFNWS00020060626e26n000ey&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=AFNWS00020060626e26n000ey&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
23467,"On October 3, 2008, China's ambassador to Uganda, Sun Heping, announced that China would build a hospital and malaria treatment/prevention center called the China-Uganda Friendship Hospital in Naguru, Uganda with a grant of 6 million USD. The 5772.8-square-meter hospital was slated to begin construction in August 2009. The groundbreaking ceremony was held on September 23, 2009. Construction completed in November 2011. The handover ceremony was held on January 10, 2012. In June 2012, Jing Yanhui, an official from the Chinese embassy in Uganda, announced that a malaria treatment and prevention center would be added on to the hospital in the near future. The start date is unknown.","http://vlex.cn/vid/china-donates-medical-equipment-uganda-60248559, Media Report, including Wikileaks; http://allafrica.com/stories/201110180227.html, Media Report, including Wikileaks; http://www.observer.ug/index.php?option=com_content&view=article&id=16718&catid=38&Itemid=96, Media Report, including Wikileaks; http://english.cri.cn/6909/2012/06/19/3124s707150.htm, Media Report, including Wikileaks; http://allafrica.com/stories/201010110015.html, Media Report, including Wikileaks; http://opm.go.ug/manage/pdfs2013/GAPR2011_12V2.pdf, Government Source (Donor/Recipient); http://aiddata.org/opening-development#uganda_crowdsourcing, Government Source (Donor/Recipient); http://jjhzj.mofcom.gov.cn/article/y/201201/20120107931658.shtml, Government Source (Donor/Recipient); http://jjhzj.mofcom.gov.cn/article/y/200910/20091006573432.shtml, Government Source (Donor/Recipient); http://jjhzj.mofcom.gov.cn/article/y/200910/20091006573438.shtml, Government Source (Donor/Recipient); http://ug.mofcom.gov.cn/article/jmxw/201201/20120107922464.shtml, Government Source (Donor/Recipient); http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(14)60725-X/fulltext#article_upsell, Academic Journal Article",
23566,"Between June 21 and 28, 2009 the Chinese gave the Gabonese military ten shipping containers including tents, medicine, laboratory equipment, and mobile medical units. This was after an exercise in which Gabonese and Chinese medical teams provided free medical and dental care to the local population. The equipment will be stocked at four locations around the country for use during emergencies. A financial amount for this project, as well as contacts, are unknown. This donation was received following a medical rescue training project ID#532 and joint military drills ID#286","http://www.cablegatesearch.net/cable.php?id=09LIBREVILLE307, Media Report, including Wikileaks; http://www.gov.cn/jrzg/2009-06/19/content_1345145.htm, Government Source (Donor/Recipient); http://www.gov.cn/jrzg/2009-06/17/content_1342221.htm, Government Source (Donor/Recipient)",
23749,"In September of 2003, China granted 50 million CFA francs (roughly $83,000 USD) to the Central African Republic to support the national reconciliation talks. This follows a 65 million CFA franc donation to the country in March of 2003 (ID#377). The sums were used to fund the talks. ","http://www.irinnews.org.administrator.irinnews.org/Report/46218/CENTRAL-AFRICAN-REPUBLIC-China-gives-Bangui-US-83-000-for-national-talks, Implementing/Intermediary Agency Source",
23762,"In 2004, restoration work began on the four-turbine, 75 mw Moukoukoulou Dam in Mindouli, Bouenza District, which was damaged during the 1999 civil war, with Chinese assistance. In 2007, the dam was fully reconstructed and recommissioned. The dam was originally built by Chinese technicians in 1974. The cost of the rehabilitation totalled $12 million. The implementing agency is yet unknown. ","http://www.irinnews.org/Report/71927/CONGO-Rebuilt-dam-brings-power-to-rural-areas, Implementing/Intermediary Agency Source; http://global.factiva.com/aa/?ref=EIUBF00020040131e01g0000d&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=EIUBF00020040131e01g0000d&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
24202,"In 2005, the Chinese government approved a grant of 500,000 Yuan for the supply of computers, photocopiers, fax machines, and accessories to the Ministry of Finance and Economic Planning in Ghana. The items were delivered. ","http://gh2.mofcom.gov.cn/aarticle/chinanews/200509/20050900484431.html, Government Source (Donor/Recipient)",
24212,"In January of 2001, the Chinese government donated 90 cartons of fireworks worth roughly 100 million Cedis to Ghana for the first anniversary celebrations of the NPP administration. The Chinese Ambassador Lu Yongshou presented the donation to Jake Obetsebi-Lamptey, Minister of Information and Presidential Affairs.","http://www.modernghana.com/news/19248/1/china-donates-fireworks-to-government.html, Media Report, including Wikileaks; http://www.ghanaweb.com/GhanaHomePage/economy/artikel.php?ID=20549, Media Report, including Wikileaks",
